id,x,y,mass,velocity_x,velocity_y
0,2.61204e+11,3.64601e+11,5.974e+24,-13984.4,10011
1,2.62074e+11,3.34524e+11,5.974e+24,-13911.7,10890.4
2,2.63346e+11,3.16799e+11,5.974e+24,-13802.8,11474.6
3,2.58016e+11,2.75913e+11,5.974e+24,-13689.4,12799.6
4,3.09794e+11,2.83603e+11,5.974e+24,-12003.3,13104.4
5,3.23015e+11,2.56237e+11,5.974e+24,-11145.7,14054.8
6,3.38508e+11,2.6187e+11,5.974e+24,-10782.9,13920.7
7,1.98878e+11,4.45647e+11,5.974e+24,-15058.4,6716.61
8,6.92469e+10,4.52693e+11,5.974e+24,-16827,2569.7
9,2.12802e+10,4.90519e+11,5.974e+24,-16423,708.649
10,5.36655e+10,4.08687e+11,5.974e+24,-17791,2333.58
11,2.25853e+10,4.17597e+11,5.974e+24,-17784.7,957.874
12,7.39872e+10,3.32612e+11,5.974e+24,-19262.6,4277.74
13,1.01708e+10,3.64491e+11,5.974e+24,-19068,527.559
14,2.00563e+10,3.36008e+11,5.974e+24,-19820.2,1180.98
15,1.11385e+11,3.05378e+11,5.974e+24,-18989.5,6915.69
16,9.76599e+10,2.9426e+11,5.974e+24,-19635.8,6518.68
17,8.27525e+10,3.1002e+11,5.974e+24,-19645.8,5238.27
18,7.99534e+10,2.78405e+11,5.974e+24,-20572.3,5909.38
19,5.90765e+10,2.59394e+11,5.974e+24,-21776.6,4960.82
20,2.15191e+11,3.55753e+11,5.974e+24,-15285.6,9242.14
21,1.52117e+11,3.40558e+11,5.974e+24,-17223.4,7687.94
22,1.39843e+11,2.87604e+11,5.974e+24,-18323.3,8906.58
23,1.64011e+11,2.55402e+11,5.974e+24,-17596.5,11297.4
24,1.51696e+11,1.84976e+11,5.974e+24,-18216.9,14934.9
25,2.1913e+11,1.86317e+11,5.974e+24,-13914.5,16363.5
26,1.96836e+11,1.50916e+11,5.974e+24,-14077.5,18357.2
27,8.92026e+10,2.14279e+11,5.974e+24,-22079.4,9189.79
28,5.7528e+09,2.22582e+11,5.974e+24,-24415,618.112
29,-1.63613e+09,2.1195e+11,5.974e+24,-25021.3,-181.93
30,2.40558e+10,1.77316e+11,5.974e+24,-27003.3,3661.23
31,6.3154e+08,1.83129e+11,5.974e+24,-26928.7,97.5727
32,1.58189e+10,1.66312e+11,5.974e+24,-28071.2,2696.25
33,5.14121e+10,1.41226e+11,5.974e+24,-27937.7,10199.6
34,9.34769e+10,1.64246e+11,5.974e+24,-23035,13120.6
35,1.13185e+11,1.71958e+11,5.974e+24,-21217.6,13960.7
36,6.8759e+10,1.70524e+11,5.974e+24,-24923,10054.1
37,1.15903e+11,1.4707e+11,5.974e+24,-20914.8,16491.2
38,2.03758e+10,1.10108e+11,5.974e+24,-33894.7,6384.28
39,2.48835e+10,9.65774e+10,5.974e+24,-35361.2,9307.34
40,1.32514e+10,8.87495e+10,5.974e+24,-38073.2,6006.17
41,4.0588e+10,7.26917e+10,5.974e+24,-34733.1,19864.5
42,4.68756e+10,7.81471e+10,5.974e+24,-32657.4,19913.8
43,1.07071e+10,3.54145e+10,5.974e+24,-57591.3,18329.7
44,-2.22002e+09,2.07874e+10,5.974e+24,-78614.8,-8374.54
45,1.66486e+10,1.11639e+10,5.974e+24,-45361.5,67977.9
46,1.93497e+10,1.40947e+10,5.974e+24,-42187.5,62987.9
47,4.76765e+10,2.51553e+10,5.974e+24,-22393.3,43953.4
48,4.04244e+10,3.43571e+10,5.974e+24,-31691.1,38286
49,1.04006e+11,5.7479e+10,5.974e+24,-16112.1,29333.5
50,1.12698e+11,4.7843e+10,5.974e+24,-12814.6,30388
51,5.71083e+10,2.57563e+10,5.974e+24,-18155.1,42198.7
52,6.2769e+10,2.17233e+10,5.974e+24,-13913.8,42460.3
53,2.1109e+11,1.0651e+11,5.974e+24,-10679,21148.2
54,1.94128e+11,8.0922e+10,5.974e+24,-9665.32,23198.1
55,2.10386e+11,8.40058e+10,5.974e+24,-8985.7,22479.7
56,1.22744e+11,1.2272e+11,5.974e+24,-19549.7,19572.5
57,1.32669e+11,1.18326e+11,5.974e+24,-18189.8,20407.7
