id,x,y,mass,velocity_x,velocity_y
0,1.69831e+10,4.08648e+11,5.974e+24,-17684.2,4211.77
1,-3.67418e+11,-2.03614e+11,5.974e+24,5664.23,-17005.6
2,-2.2038e+11,1.65292e+11,5.974e+24,-55067.8,31838.6
3,1.58231e+11,2.37605e+11,5.974e+24,-13301.8,17782
4,-2.94992e+11,2.40667e+11,5.974e+24,-14785.3,-11750.5
5,-4.4555e+10,-2.20232e+11,5.974e+24,1553.2,-50853.4
6,-4.57445e+11,-2.57284e+10,5.974e+24,-1799.97,-17033.3
7,-6.4169e+10,-2.69261e+11,5.974e+24,-7424.18,-63495.5
8,-9.4708e+10,2.70787e+11,5.974e+24,-22141.5,40.8326
9,1.52404e+11,-1.52317e+11,5.974e+24,26418.4,5785.14
10,1.10384e+11,2.25174e+11,5.974e+24,-15326.1,18609.4
11,-4.09078e+11,-2.86071e+11,5.974e+24,7400.75,-14617.9
12,-8.45705e+10,-4.26766e+11,5.974e+24,16403.4,-6370.52
13,2.79714e+11,-9.86802e+10,5.974e+24,66631.4,-16600
14,-1.5207e+11,-4.50074e+11,5.974e+24,14920.8,-7741.5
15,-2.09092e+11,-4.00403e+11,5.974e+24,13776,-10390.9
16,1.31378e+11,-1.31541e+11,5.974e+24,33701.3,-3987.79
17,-5.43368e+10,-4.53702e+11,5.974e+24,16477.7,-4761.33
18,-1.27563e+10,4.14692e+11,5.974e+24,-17819.1,2826.6
19,-3.04432e+11,7.13124e+10,5.974e+24,-10531.5,-18230.9
20,-4.28888e+11,-1.87329e+11,5.974e+24,4281.89,-16389.9
21,2.03657e+11,-1.93491e+11,5.974e+24,51777.9,-39158.6
22,1.91575e+11,2.23894e+09,5.974e+24,36261.1,17600.6
23,-1.38397e+10,2.18876e+11,5.974e+24,-15256.6,47011.8
24,-1.84044e+11,-3.85629e+11,5.974e+24,14405.7,-10393.8
25,-3.65841e+11,1.43753e+11,5.974e+24,-10157.6,-15541
26,-1.26457e+11,4.80227e+11,5.974e+24,-16319.7,-1891.74
27,6.55575e+10,-4.81305e+11,5.974e+24,16615.5,-203.111
28,2.07706e+11,-1.57669e+11,5.974e+24,20343.2,11749.7
29,2.74865e+11,5.62622e+10,5.974e+24,3335.44,22191.1
30,-3.06546e+11,1.24989e+11,5.974e+24,-12420.6,-16165.4
31,-1.71314e+11,-8.66426e+10,5.974e+24,-25052.5,-31799.5
32,2.00971e+11,2.2206e+10,5.974e+24,39897.9,19301.6
33,4.58362e+09,2.44175e+11,5.974e+24,-8673.9,55253.3
34,2.50006e+11,-4.29638e+10,5.974e+24,13260.6,19906.6
35,-8.83287e+10,-2.40216e+11,5.974e+24,17184,-16441.8
36,-1.9547e+11,3.2802e+10,5.974e+24,-22399,-19229.9
37,-1.34094e+11,-1.2807e+11,5.974e+24,-6320.24,-34357
38,-2.76397e+11,7.49288e+10,5.974e+24,-12588.1,-18243.2
39,-2.32326e+11,3.67346e+10,5.974e+24,-53594.1,-2170.24
40,-2.75097e+11,2.15387e+11,5.974e+24,-15624.2,-12139.8
41,2.06515e+11,-2.58732e+11,5.974e+24,18731.6,8044.67
42,-1.01956e+11,-2.86695e+11,5.974e+24,17041.9,-12922
43,-1.68256e+11,-2.10261e+11,5.974e+24,11428.1,-19977.7
44,2.73002e+11,1.30742e+11,5.974e+24,-2928.94,21249.7
45,2.28125e+11,8.75782e+10,5.974e+24,1956.21,24455.2
46,-1.64832e+10,2.30201e+11,5.974e+24,-23292.7,10541.5
47,7.11771e+10,-3.27351e+11,5.974e+24,21459.5,-74718.6
